Dry Weights (g),,,,,,,,,Gravimetric Soil Water Content (%),,,,,,,
All Wet Weights= 5.0g,,,,,,,,,All Wet Weights= 5.0g,,,,,,,
CHY EDGE,,SGS EDGE,,Hays EDGE,,KNZ EDGE,,,CHY EDGE,,SGS EDGE,,Hays EDGE,,KNZ EDGE,
BS-E,4.83,BS-E,4.90,BS-E,4.27,BS-E,3.98,,BS-E,3.52%,BS-E,2.04%,BS-E,17.10%,BS-E,25.63%
BS-1,4.89,BS-1,4.93,BS-13,4.33,BS-1,4.29,,BS-1,2.25%,BS-1,1.42%,BS-13,15.47%,BS-1,16.55%
BS-2,4.90,BS-2,4.88,BS-14,4.40,BS-2,4.02,,BS-2,2.04%,BS-2,2.46%,BS-14,13.64%,BS-2,24.38%
BS-3,4.86,BS-3,4.88,BS-15,4.29,BS-3,4.06,,BS-3,2.88%,BS-3,2.46%,BS-15,16.55%,BS-3,23.15%
BS-7,4.86,BS-7,4.83,BS-16,4.26,BS-7,4.03,,BS-7,2.88%,BS-7,3.52%,BS-16,17.37%,BS-7,24.07%
BS-8,4.90,BS-8,4.95,BS-17,4.27,BS-8,4.11,,BS-8,2.04%,BS-8,1.01%,BS-17,17.10%,BS-8,21.65%
BS-9,4.85,BS-9,4.79,BS-18,4.27,BS-9,4.10,,BS-9,3.09%,BS-9,4.38%,BS-18,17.10%,BS-9,21.95%
BS-13,4.86,BS-13,4.92,BS-19,4.05,BS-10,4.09,,BS-13,2.88%,BS-13,1.63%,BS-19,23.46%,BS-10,22.25%
BS-14,4.83,BS-14,4.84,BS-20,4.13,BS-11,4.06,,BS-14,3.52%,BS-14,3.31%,BS-20,21.07%,BS-11,23.15%
BS-15,4.91,BS-15,4.84,BS-21,4.27,BS-12,4.14,,BS-15,1.83%,BS-15,3.31%,BS-21,17.10%,BS-12,20.77%
BS-19,4.88,BS-19,4.91,BS-22,4.40,BS-13,4.08,,BS-19,2.46%,BS-19,1.83%,BS-22,13.64%,BS-13,22.55%
BS-20,4.88,BS-20,4.92,BS-23,4.24,BS-14,4.04,,BS-20,2.46%,BS-20,1.63%,BS-23,17.92%,BS-14,23.76%
BS-21,4.91,BS-21,4.85,BS-24,4.40,BS-15,4.04,,BS-21,1.83%,BS-21,3.09%,BS-24,13.64%,BS-15,23.76%
BS-25,4.83,BS-25,4.92,BS-25,4.32,BS-19,4.27,,BS-25,3.52%,BS-25,1.63%,BS-25,15.74%,BS-19,17.10%
BS-26,4.83,BS-26,4.91,BS-26,4.29,BS-20,4.09,,BS-26,3.52%,BS-26,1.83%,BS-26,16.55%,BS-20,22.25%
BS-27,4.82,BS-27,4.92,BS-27,4.22,BS-21,3.94,,BS-27,3.73%,BS-27,1.63%,BS-27,18.48%,BS-21,26.90%
BS-28,4.90,,,BS-28,4.38,BS-28,3.96,,BS-28,2.04%,,,BS-28,14.16%,BS-28,26.26%
BS-29,4.88,,,BS-29,4.42,BS-29,4.05,,BS-29,2.46%,,,BS-29,13.12%,BS-29,23.46%
BS-30,4.91,,,BS-30,4.29,BS-30,4.12,,BS-30,1.83%,,,BS-30,16.55%,BS-30,21.36%
Average,4.87,,4.89,,4.29,,4.08,,Average,2.67%,,2.31%,,16.62%,,22.68%
,,,,,,,,,,,,,,,,
